Predictions_prob_1,Predictions_prob_0,oscar_label,text,speech_par_id,uncertainty,already_annotated,already_sampled,drawn,yuchen_label,agreement,bart_label
0.724589567,0.275410433,exlusive,"Speaking in secret to a foreign bank, Hillary pledged her support for """"open borders."""" That means tens of millions of new foreign workers to compete against you for your jobs, your wages, your futures – she's selling out the future of young American, of all backgrounds, to enrich her donors. We won't let it happen.",2016-10-13-hotel-columbus-ohio_9,0.449179135,FALSE,,uncertainty,neither,FALSE,neither
0.503369787,0.496630213,exlusive,"For those here illegally today, who are seeking legal status, they will have one route and one route only. To return home and apply for reentry like everybody else, under the rules of the new legal immigration system that I have outlined above. Those who have left to seek entry --",2016-08-31-center-phoenix-arizona_108,0.006739574,FALSE,,uncertainty,neither,FALSE,neither
0.62705321,0.37294679,exlusive,"He was murdered by an illegal immigrant gang member previously convicted of burglary, who had also been released from federal custody, and they knew it was going to happen again. Another victim is Kate Steinle. Gunned down in the sanctuary city of San Francisco, by an illegal immigrant, deported five previous times. And they knew he was no good.",2016-08-31-center-phoenix-arizona_15,0.25410642,FALSE,,uncertainty,neither,FALSE,neither
0.294112225,0.705887775,exlusive,"The ICE officer described Hillary's proposal as quote, """"The most radical immigration proposal in U.S. history."""" Here's a summary of the Hillary plan. She wants to support sanctuary cities.",2016-10-18-colorado-springs-colorado_68,0.41177555,FALSE,,uncertainty,neither,FALSE,neither
0.714667383,0.285332617,exlusive,"I don't believe in the agenda of the ACLU. I believe we can take a moment in our schools for prayer. I believe we can take a moment for the Pledge of Allegiance, too.",2967_21,0.429334767,FALSE,,uncertainty,neither,FALSE,neither
0.260922379,0.739077621,exlusive,"And as I look at the decisions of our courts over the past few years, I have had to conclude that some of our courts in their decisions have gone too far in weakening the peace forces as against the criminal forces in this country, and we must restore that balance if we are to have what we need. What I am suggesting to you is that we can have respect for law, we can have order and we can have it at the same time as we defend, as we must always defend, the rights of individuals, those individuals, their Civil Rights, but recognizing that the first civil right of every American is to be free from domestic violence. Let's see that we have that again in America. Give us a chance and we will provide that civil right for every American, wherever he may be across this land.",2178_31,0.478155242,FALSE,,uncertainty,neither,FALSE,neither
0.287349923,0.712650077,exlusive,"Hillary has pledged totally open borders, meaning you don't have a country anymore. And she strongly supports sanctuary cities like in San Francisco where[booing] Right? Where Kate Steinle was killed by a five time deported illegal immigrant.",2016-11-02-amphitheater-miami-florida_60,0.425300153,FALSE,,uncertainty,neither,FALSE,neither
0.337998439,0.662001561,exlusive,"The examples go on and on and on. Under a Trump Administration, this crime wave will come crashing to an end. That includes the proposal, in my contract, for tough mandatory minimum prison sentences for illegal immigrants who re-enter the country after a previous deportation.",2016-10-23-fairgrounds-naples-florida_23,0.324003122,FALSE,,uncertainty,neither,FALSE,neither
0.6469259,0.3530741,exlusive,"This election will decide whether or not we have a border. This election will decide whether or not we have a country. Today I met with the moms of American children killed by illegal immigrants as a result of the policies Hillary Clinton supports. Hillary Clinton will never meet with these families, she will never hear these stories.",2016-08-23-arena-austin-texas_23,0.2938518,FALSE,,uncertainty,neither,FALSE,neither
0.724910661,0.275089339,inclusive,"But we don't have those concepts any more, of sacrifice and a struggle upward, and inspiration and pride. We've had eight long, tragic years, we've been stalled too long, we've got to get moving again. And only a new and fresh and vigorous and imaginative and dedicated Democratic leadership is going to get us moving, not just in my own right, as a potential president, but throughout the ranks of the federal, state, and local levels of government, and among people who hunger for something clean and decent around which they can build their lives once again. The problem isn't just economic; it's a matter of the spirit. We as a nation have been disillusioned, we've suffered too much, and too short a time, the assassination of great political leaders--John Kennedy, Bobby Kennedy, Martin Luther King, Jr.--a tragic war, hidden deceitfully from the American people in the case of Cambodia, a national scandal, the resignation and disgrace of a President of the United States, and the Vice President of the United States.",2398_13,0.449821322,FALSE,,uncertainty,neither,FALSE,neither
