Predictions_prob_1,Predictions_prob_0,text,speech_par_id,uncertainty,already_annotated,already_sampled,drawn,auth_bb,auth_yl,agree
0.784702139,0.215297861,"We believe you can speak your mind in America. We believe the press should be allowed to flourish. We believe in a lot of freedoms, and they don't. And they're willing to use terror as a tool. Therefore, lesson one is, you can never negotiate with these people; you can never hope for the best; you can't hope that somehow showing weakness will end up currying favor with them. The best way to protect the homeland is to stay on the offense, is to find these people and bring them to justice before they hurt America again.",2004-09-24-education-janesville-wisconsin_75,0.569404277,FALSE,,uncertainty,0,0,1
0.555343617,0.444656383,I pledge to you that our new attorney general will be directed by the president of the United States to launch a war against organized crime in this country. I pledge to you that the new attorney general of the United States will be an active belligerent against the loan sharks and the numbers racketeers that rob the urban poor in our cities. I pledge to you that the new attorney general will open a new front against the filth peddlers and the narcotics peddlers who are corrupting the lives of the children of this country.,2148_28,0.110687234,FALSE,,uncertainty,1,1,1
4.07E-05,0.999959288,"Mr. Nixon...[aircraft noise]...goodbye, Dick.  I don't care how many rescue squad operations are now being organized around the country to save Mr. Nixon.  I rode through the streets of New York by myself.  I did not require--I did not require Henry Cabot Lodge or Nelson Rockefeller or President Eisenhower to go by my side.  The point of the matter is that a team is not running for the presidency.  We have one man who runs, one candidate, and the people of Virginia and the people of the United States must decide whether a candidate who runs on a platform of standing up to Khrushchev, who will not come into a studio and have a fifth debate, who needs an escort guard to take him around the state of New York, whether he can lead the American people or not.  You have all seen these elephants at the circus, with their heads full of ivory, thick skins, long memory, no vision, and when they move around the circus ring, they grab the tail of the elephant in front of them.  Mr. Nixon grabbed that tail in 1952 and 1956, but he is the lead elephant now, and the people of the United States do not want a candidate who needs an escort to meet the American people in the last five days of the campaign.",1722_2,0.999918576,FALSE,FALSE,random,0,0,1
0.736641908,0.263358092,"Let me tell you how very glad I am to be here first with your senior Senator, Joe Biden, a great leader and a great friend of mine. For two years, Joe Biden has labored to get a crime bill through the United States Congress, a bill that would put the national government firmly on the side of law enforcement, a bill that would put more police officers on the street, would finally give us a national waiting period before dangerous handguns can go into the hands of people with criminal records or mental health histories, a bill that would make some changes that many of us think should be made in the criminal appeals process, and for two years this president and his allies in the Senate have blocked that bill. Now the Congress went home, in spite of Joe Biden's best efforts, without a crime bill, and the streets of America will be less safe because of it.",3034_2,0.473283815,FALSE,,uncertainty,0,0,1
0.207444887,0.792555113,"My opponent in his convention speech said, """"Oh, we'll respond if attacked."""" That is a pre-September the 11th mindset that is dangerous in the world in which we live. We've got to take threats seriously before they come to hurt us.",2004-10-22-discussion-canton-ohio_80,0.585110225,FALSE,,uncertainty,0,0,1
4.65E-05,0.999953539,"And today, the United States of America is less dependent on foreign oil than at any time in the past two decades. So we need to build on that progress, not go backwards. My plan would continue to cut our oil imports in half by investing in the clean energy that's creating jobs right here: wind and solar, fuel-efficient cars, long-lasting batteries.",2012-10-11-2012-fundraiser-miami_20,0.999907078,FALSE,FALSE,random,0,0,1
0.646852655,0.353147345,"Fourth, we must ensure that consumers and investors are protected. Our regulatory system must protect consumers and investors by punishing individuals who engage in fraud, break contracts, or lie to customers -- like the predatory lenders who know you can't afford an adjustable rate mortgage, but mislead you into signing one. These actions are criminal and the people who commit them should be behind bars. And corporate governance rules will be reformed so that shareholders have a clear say in determining the pay of CEOs and other senior executives. On my watch, the consequences for corporate abuse will not be more enrichment, but more likely an indictment.",2008-09-19-bay-wisconsin-0_17,0.29370531,FALSE,,uncertainty,0,0,1
0.534506931,0.465493069,"Perhaps most destructive, the President has appointed liberal judges who have become notorious nationwide for bending the law in order to let criminals go free. As president, I will have a simple, straightforward plan to make America safer again. It is time to end the phony conservative rhetoric that tries to mask liberalism in action. It's time to return to what works in fighting crime--and what works in fighting crime is fighting criminals.",3315_10,0.069013862,FALSE,,uncertainty,1,1,1
0.57913399,0.42086601,"We must not permit this to become our fate. We will find the solution, not in repression, but in justice. Violence cannot be tolerated. But neither can injustice.",2045_34,0.15826798,FALSE,,uncertainty,0,0,1
4.22E-05,0.99995782,"Well, today I have taken a text and I plan to stick to it.  My text is drawn from a speech made some days ago in Los Angeles, by my distinguished opponent, the candidate of the present administration.  I gather that my opponent made this speech because--in his travels--he had made a discovery.  Getting out among the people he had discovered that the failures of this administration are too large to be concealed, that the public morals of this administration are too unsavory to be sweetened up, that the total record of this administration is too heavy a millstone for any candidate to bear.",1178_6,0.999915641,FALSE,FALSE,random,0,0,1
