Predictions_prob_1,Predictions_prob_0,text,speech_par_id,uncertainty,already_annotated,already_sampled,drawn,code_bb,code_yl
0.112561816,0.887438184,"It need not be this way. And in places where scarcity can breed resentment, despair, and extremism -- where problems cannot be contained by borders -- it must not be this way. We can never guarantee our security through military means alone. True security requires a far broader approach, using non-military means to reduce threats before they gather strength. And this is especially true of our strategic interest in fighting disease and extreme poverty across the globe.",2008-09-25-york-city-0_16,0.774876368,FALSE,,uncertainty,neither,neither
0.38305814,0.61694186,"I am going to keep radical Islamic terrorists the hell out of our country. A Trump administration will also secure and defend the borders of the United States. Boy, you people have energy, you're great.",2016-10-28-manchester-new-hampshire_45,0.23388372,FALSE,,uncertainty,exclusionary,exclusionary
5.75E-05,0.999942529,"RICHARD NIXON: Thank you very much. As I stand here before you I want to express my appreciation for this wonderfully warm welcome you have given us on a beautiful Iowa day. I want you to know that as I speak in Iowa for the first time in this campaign, my memories are many and always pleasant because they go back many years.",2161_0,0.999885057,FALSE,FALSE,random,neither,neither
0.846523773,0.153476227,"Now, Ford is moving all if its small car production to Mexico. A Trump Administration will stop the flight of American jobs. If Ford, or another company, announces they want to move their jobs to Mexico or another country, then I will pick up the phone – I will call the executives – and I will tell them that if they want do that, we will charge a 35% tax when they try to ship their products back across the border.",2016-10-31-campus-warren-michigan_20,0.693047547,FALSE,,uncertainty,neither,neither
0.896767224,0.103232776,"Their quote continues. """"She proposes to keep and expand executive amnesty, to expand catch- and-release, to expand President Obama's non-enforcement priorities to the point where there is virtually no real immigration enforcement or policing of visa overstays, to support Sanctuary Cities, to extend Obamacare to illegal immigrants, to grant amnesty within 100 days, to extend Social Security and Medicare to illegal immigrants through amnesty, plus a 550% increase in the admission of Syrian refugees."""" The ICE officers conclude by saying: """"Her plan is total amnesty plus open borders.""""",2016-10-05-center-reno-nevada_21,0.793534448,FALSE,,uncertainty,exclusionary,exclusionary
7.50E-05,0.999925024,"Now, let me say against all of this, I still think we have to bring down the deficit. And I have offered a way to do it. It doesn't take it out of education and the necessary investments to grow this economy.",2990_43,0.999850049,FALSE,FALSE,random,exclusionary,neither
0.738691464,0.261308536,"The gangs and cartels and criminal syndicates terrorizing our people will be stripped apart one by one. Their day is over. On trade, we are going to renegotiate NAFTA, withdraw from the TPP, stand up to China on our terrible trade agreement, and protect every last American job.",2016-08-18-charlotte-north-carolina_43,0.477382928,FALSE,,uncertainty,neither,neither
0.592994233,0.407005767,And I don't need to tell people in San Diego about Bill Clinton's poor record on drug interdiction.  He cut by more than half the Defense Department's budget for the planes and troops to help keep drugs from coming across the border. He proposed cutting the number of drug enforcement agents by more than 600 in 1994.,3313_15,0.185988465,FALSE,,uncertainty,neither,neither
0.351300361,0.648699639,"We are putting 100,000 police on the street. We supported the Safe and Drug-Free Schools Program so that our children could hear early that drugs are wrong, drugs are illegal, drugs can kill you. We have done what we could to strengthen our control of our borders more than any administration ever has. We have also supported, as the Mayor said, local initiatives, like school uniforms for younger children, truancy law enforcement, curfews at night.",3269_33,0.297399279,FALSE,,uncertainty,exclusionary,neither
6.10E-05,0.999939003,"Over the last few months, no single case has received as much notoriety as that of Willie Horton.  That case has come to symbolize, and represent--accurately, I believe--the misguided outlook of my opponent when it comes to crime. Yes, it is only one case.  There are many others.  And they continue--just this week, a Massachusetts inmate, serving time for armed robbery, was caught again, while out on furlough, breaking into a woman's home and threatening her with murder.  According to the local district attorney, it was the third time this year, in just that one county that a prisoner has been arrested while on furlough or early release.  """"The police,"""" said the district attorney, """"are even more upset than we are, and the victims can't understand what is going on.""""",2969_9,0.999878005,FALSE,FALSE,random,neither,neither
6.30E-05,0.999937009,"The Democratic platform is strong enough and it is broad enough in its present form to carry all of the progressive Republicans in the land. The trouble is that some Republican candidates seem to be on the platform just for the ride from now until election day. They seem to be only interested in roping votes before the election, but they won't be doing any branding afterward. ",911_7,0.999874018,FALSE,FALSE,random,neither,neither
5.27E-05,0.999947282,"Now, who of the candidates is best qualified in this field?  Naturally, you're going to expect me to say that I am.  All that I am going to say is this: I do know what the problem is.  For seven and a half years Cabot Lodge and I have sat in the National Security Council, in the Cabinet.  We have sat with the President and we have discussed with him in making the great decisions that avoided war on the one side and surrender on the other.",1848_29,0.999894564,FALSE,FALSE,random,neither,neither
0.133086491,0.866913509,"Our country is broke. We have decaying infrastructure, failing schools, rising crime, a depleted military, an open border, and an economy that can't create full-time high-paying jobs. We are a divided nation, and each week it seems we are getting more and more divided, with race riots in our streets on a",2016-10-03-center-pueblo-colorado_17,0.733827019,FALSE,,uncertainty,exclusionary,exclusionary
0.106583541,0.893416459,We Will Make America Safe Again. And We Will Make America Great Again.,2016-10-17-bay-wisconsin-0_35,0.786832917,FALSE,,uncertainty,neither,neither
0.762022877,0.237977123,"Fourth, we will protect the homeland. Even as we stay on the offensive against the terrorists, we've got to strengthen our defense. For example, 95 percent of the containers coming into our ports are not screened today. I will change that.",2004-10-20-waterloo-iowa-0_54,0.524045753,FALSE,,uncertainty,neither,neither
0.570667188,0.429332812,"The question of voter fraud came up during the debate. We want fairness in the election, having nothing to do with me and having to do with the future of the country. John Podesta, Hillary's Campaign Chairman, was quoted in WikiLeaks, as saying illegal immigrants could vote as long as they have Drivers' Licenses.",2016-10-20-fairgrounds-delaware-ohio_3,0.141334376,FALSE,,uncertainty,exclusionary,exclusionary
0.787628423,0.212371577,"And we are going to unite America. Imagine what our country could accomplish if we started working together as One People, under One God, saluting One American Flag. You're going to look back at this rally for the rest of your life. You're going to remember this day. We're going to make history. This is a movement like you've never seen before. We're going to make history together.",2016-10-04-prescott-valley-arizona_48,0.575256846,FALSE,,uncertainty,neither,exclusionary
0.623115559,0.376884441,"I'm for an amendment to protect the flag of the United States. A lot of people fought, gave their lives. And he's against it.",3347_33,0.246231118,FALSE,,uncertainty,neither,neither
0.166367596,0.833632404,"The President. Sure. Q. ——and how it would be done. I know for a fact that there's cattle that weighs over 2,000 pounds in Canada that's wasting—waiting across the border, and what that will do—impact that will have on the United States.",2004-09-10-discussion-portsmouth-ohio_161,0.667264808,FALSE,,uncertainty,neither,neither
6.40E-05,0.999935999,"There is going to be a change in Washington, D.C., a real change. Three days ago in the city of Chicago, just a week after the Democratic convention, 600,000 people were there calling for change, as we went into the city of Chicago. We are going to carry Illinois this year, 1968.",2151_6,0.999871998,FALSE,FALSE,random,neither,neither
0.898118094,0.101881906,"The fifth clear choice in this election is on the values that are so crucial to keeping America's families strong. I stand for the appointment of Federal judges who know the difference between personal opinion and the strict interpretation of the law. I stand for marriage and family, which are the foundations of our society. When Congress passed the Defense of Marriage Act, the vast majority of Democrats supported it, and my predecessor, Bill Clinton, signed it into law. But Senator Kerry was part of an out-of-the-mainstream minority that voted against the Defense of Marriage Act.",2004-10-27-pontiac-michigan-0_52,0.796236188,FALSE,,uncertainty,exclusionary,neither
6.31E-05,0.999936948,"The Carter administration has ignored that challenge. Today, I am returning this issue to the campaign agenda. In a time of rampant inflation, this abuse of the taxpayer threatens to undermine the faith of the American people in our democratic institutions.",2683_3,0.999873896,FALSE,FALSE,random,neither,neither
0.846215514,0.153784486,"And the final clear choice in this election is on the values that are so crucial to keeping our families strong. And here my opponent and I are miles apart. I stand for the appointment of Federal judges who know the difference between personal opinion and the strict interpretation of the law. I believe marriage is a sacred commitment, a pillar of our civilization, and I will defend it. This isn't a partisan issue. You know, when Congress passed the Defense of Marriage Act, which defined marriage as a union of a man and a woman, the vast majority of Democrats supported it and President Bill Clinton signed it into law. But Senator Kerry was part of the out-of-the-mainstream minority that voted against the Defense of Marriage Act.",2004-10-26-dubuque-iowa-0_43,0.692431028,FALSE,,uncertainty,exclusionary,exclusionary
0.153349602,0.846650398,"First, we are going to repeal and replace Obamacare. President Obama said if you like your doctor you can keep your doctor. That was a lie.",2016-10-05-pavilion-henderson-nevada_12,0.693300796,FALSE,,uncertainty,neither,neither
0.186825379,0.813174621,"During his administration, drug enforcement agencies and FBI agents were reduced by ten percent. In our administration, the Department of Justice has added 1,200 new agents and prosecutors, and we've increased the special agents in customs from 600 to 1,000. Apparently, he hasn't heard about the increase in radar balloons and Navy and Air Force surveillance flights to track planes attempting to slip across the Gulf of Mexico and the Mexican border, not to mention the coast guard, which is moving forward with its improved detection and surveillance program.",2815_4,0.626349241,FALSE,,uncertainty,neither,neither
0.217959746,0.782040254,"Libya is in ruins, our ambassador and three other brave Americans are dead, and ISIS has gained a new base of operations. Syria is in the midst of a disastrous civil war. ISIS controls large portions of territory. A refugee crisis now threatens Europe and the United States. And hundreds of thousands are dead.",2016-09-07-philadelphia-philadelphia-pennsylvania_14,0.564080507,FALSE,,uncertainty,neither,exclusionary
0.105330605,0.894669395,"Since that day, we have waged a global campaign to protect the American people and bring our enemies to account. Our Government has trained over a half a million first-responders. We've tripled the spending for homeland security. Law enforcement and intelligence have better tools to stop the terrorists, thanks to the PATRIOT Act, which my opponent voted for but now wants to weaken.",2004-10-07-remarks-wausau-wisconsin_40,0.78933879,FALSE,,uncertainty,neither,neither
5.33E-05,0.999946674,"From my father embracing his patients and hearing their stories, to my fellow students marching in support of justice, to women and men like the Soviet refuseniks fighting for freedom, I have learned that the greatest gift we can give each other is the gift of our time and our ideas and our work. It is the gift of whatever we have to give, the gift of whatever we have inside of us. I have seen that type of philanthropy practiced so many times since coming to America four decades ago. Here I discovered a land remarkably different from any I had known before. People here spoke their mind, and didn't object if you did the same-well, at times, some do if your husband is running for President.",2004-10-17-conference-washington-dc_21,0.999893347,FALSE,FALSE,random,neither,neither
0.149471371,0.850528629,"We're making our families, our neighborhoods safer. We're putting 100,000 police on the street, taking drugs and guns and gangs off the street. The Brady Bill has kept 60,000 felons, fugitives, and stalkers from getting handguns, but no Ohio hunter has lost his weapon, not a single one.",3279_17,0.701057259,FALSE,,uncertainty,neither,neither
