Predictions_prob_1,Predictions_prob_0,text,speech_par_id,uncertainty,already_annotated,already_sampled,drawn,label_yl,label_os,agreement,label_final
0.957093934,0.042906066,"But in wanting these young Americans to be able to make the best of this, I want first and foremost for them to be safe. I want to remove the shadow that darkens opportunities for every man, woman, and child in America. We are a nation paralyzed by crime. And it's time to end that in America.And to do so--to do so, I mean to attack the root cause of crime--criminals, criminals, violent criminals.",3301_46,0.914187867,FALSE,,uncertainty,1,1,TRUE,1
0.160324519,0.839675481,"And the pardon of Richard Nixon is just one example of how there is a different standard of treating crime. If somebody steals a 30-cent loaf of bread and gets caught, he's going to prison. If somebody embezzles $50,000 from a bank, I guarantee you that they won't go to prison, unless it's extraordinary circumstances. That ought to be changed. And we have a responsibility, those of us who are influential, or successful in government, or Democrats, to be both competent and compassionate in dealing with other people.",2389_19,0.679350963,FALSE,,uncertainty,0,0,TRUE,0
0.562001141,0.437998859,"We've also tried to support more people, like Yvonne, in citizens groups. Over the next four years, we're going to try to mobilize another million volunteers to work with the police to get the crime rate down. San Diego, California has the lowest crime rate of any of the ten big cities in America, even though it's right on the border where we're constantly fighting illegal immigration and people trying to bring drugs across the border. They still have--in any of the ten biggest cities, they've got the lowest crime rate.",3268_17,0.124002282,FALSE,,uncertainty,0,0,TRUE,0
0.986044847,0.013955153,"And we must draw the line.  And we must let it be known--at least, I shall let it be known that if I am the president of the United States, I shall do anything within my power to defend democratic rights and I shall do everything in my power to see that the principles of democracy are not abused or defiled by those who commit violence or have disregard for the law. I hope that some of us here tonight know what is going on.  Patterns such as we see here drive voters by the thousands to a racist candidate.  Patterns that we have seen here tonight drive voters by the thousands to one who takes no stand on any issue.  Isn't it interesting that a liberal Democrat, isn't it interesting that a progressive Democrat, isn't it interesting that a man that has worked all his life for peace should be the target of a handful of people that would like to destroy this party, and indeed, destroy this nation?",2039_26,0.972089695,FALSE,,uncertainty,0,0,TRUE,0
0.11585979,0.88414021,"Our crackdown on crime, thanks to energetic support from citizens groups and local law enforcement agencies, has produced the sharpest drop ever in the history of the Crime Index. We intend to keep cracking down until your families and friends can walk your streets again without fear. And let's make a national commitment to save our children from the drug abuse that poisons their minds and bodies.",2880_21,0.76828042,FALSE,,uncertainty,1,1,TRUE,1
0.148482236,0.851517764,"And when we talk about a war on drugs, we mean it. I'm not going to be AWOL on the war on drugs as President was AWOL on the war on drugs when he cut funding 83 percent, when he stopped a lot of the interdiction. If necessary, I will use the National Guard to stop drugs from coming across the border in the first place.",3355_25,0.703035527,FALSE,,uncertainty,1,1,TRUE,1
0.015683651,0.984316349,"And during the last four years it has failed in that duty big time. Time after time after time, the administration has failed. And you are the ones who pay the price for that monumental failure. And that is not the only failure at the border. Right alongside the administration's sorry record on illegal immigration is its dismal record on illegal drugs.",3339_45,0.968632697,FALSE,,uncertainty,0,0,TRUE,0
0.96855922,0.03144078,"There is a myth that people who are concerned with human liberty and human rights--and by this I mean Democrats--are not deeply concerned by the violent crime that floods our streets. It has even been charged that people like you and me are somehow more concerned with the criminal than with his victim. Nothing is further from reality. Mr. Nixon and his administration sell this myth so they can mask a record of astounding failure in the field of crime behind a veil of """"law and order"""" rhetoric, which grows more strident as the muggings and murders and rapes in our cities continue to rise.",2277_20,0.93711844,FALSE,,uncertainty,0,0,TRUE,0
0.787791557,0.212208443,"Look, contrast that with what we've been doing on the federal record. I'm very proud to talk about my record in law enforcement. Most federal inmates serve at least 85 percent of their full sentences. Sure it costs money, but it takes a real commitment. ",3099_20,0.575583115,FALSE,,uncertainty,0,1,FALSE,1
0.012760948,0.987239052,"Sixth, the habeas corpus reform. Habeas corpus is supposed to protect the innocent, but it's turned into a ridiculous perversion of the law. Can you believe that a lot of these petitions drag on for more than a decade? Criminal lawyers use it to postpone justice. A guilty verdict can mean seemingly endless appeals that choke our courts and delay justice. It's about time we put a stop to this travesty. Let them have one habeas corpus petition and be done with it. And that's what I'm trying to do in that crime bill right now. ",3118_25,0.974478105,FALSE,,uncertainty,1,1,TRUE,1
