Predictions_prob_1,Predictions_prob_0,text,speech_par_id,uncertainty,already_annotated,already_sampled,drawn,high_pride_bb,high_pride_yl
0.575253616,0.424746384,"The only way that Governor Clinton and Ozone can win, the only way they can win it, is if they convince America that everything is wrong with our economy. And yes, a lot of people are hurting. But let me tell you something: All around the world our economy, in spite of its slowness, is the envy of the world. We grew at 2.7 percent in the last quarter. And we're going to keep on leading until every American that wants a job, gets a job. But we are not going to tax and spend to do it.",3180_7,0.150507233,FALSE,,uncertainty,1,1
0.484759834,0.515240166,"Now, I'm confident it's going to work because I didn't just study the economy in school; I actually have lived in the economy for 25 years. And I've also had the chance during this campaign to go across America and meet entrepreneurs and innovators. And the spirit of America, the can-do, """"we can make it happen"""" kind of spirit is very much there. And if we just have a government that recognizes that by lifting individuals and — and celebrating success in America, we're going to have more of it, then you're going to see this economy come roaring back.",2012-09-13-event-fairfax-virginia_40,0.030480332,FALSE,,uncertainty,1,1
0.000130649,0.999869351,"Q. Are you ready for the debate, Mr. President? The President: What?",2814_7,0.999738701,FALSE,FALSE,random,0,0
0.561139828,0.438860172,"I just want to say to you, I have been to eighty countries.  I have been to all of the fifty states.  You hear what is wrong with America.  Let me say, you and all the world can be thankful that it is America that has the power that we have because we do not threaten the peace of any other nation and we will never do so.",2339_23,0.122279656,FALSE,,uncertainty,1,1
0.581878004,0.418121996,"What does this mean?  It means that it was 300 percent more than we invested five years ago.  It means that it was 500 more than we invested eight years ago.  Ladies and gentlemen, there has never been a nation that has ever faced the prospect of insolvency or bankruptcy by investing in education.  As Thomas Jefferson once said: """"You can't be both ignorant and free"""".  And when we put our money into education for our young, when we put our money into the great institutions of learning for our college students, we build a better America.  We build a better union.  We build a better country and we build better families.  That is why we are investing in education.",2001_34,0.163756008,FALSE,,uncertainty,0,0
0.000204463,0.999795537,"All the books on this administration. I can't believe it. Nobody--I guess people say, oh, well, it happens every day. We'll get used to it. We all--that's not true. The American people believe in honesty, integrity and decency. And they believe when you become the president of the United States, you're upholding a public trust--a public trust.",3359_56,0.999591074,FALSE,FALSE,random,0,0
0.536907854,0.463092146,"When I told you before that it's not a matter of party, I meant it. There was a time, under Abraham Lincoln, when the Republican party believed that we had to go forward together and we couldn't live with the lie of slavery anymore. It was a lie. It defied all the values of the Constitution. There was a time when the Republican party, under Theodore Roosevelt, believed that we could not become a great industrial nation and forget about the importance of protecting small business and working people through free enterprise and maintaining competition and protecting innocent children from being forced to work seventy hours a week in coal mines and in beginning the work of conserving our great natural resources with the Grand Canyon and other things that Theodore Roosevelt did. This does not have to be a matter of party.",3283_25,0.073815707,FALSE,,uncertainty,0,0
0.491820102,0.508179898,"They remind me of some men today who know the price of everything and the value of nothing. They are the Old Guard Republicans who are making a desperate bid to direct the future of this country.  What we will really commemorate in 1954 is the triumph of Jefferson's belief in the American future. Because he believed deeply, he dared greatly and so he bequeathed greatness to this country. ",966_1,0.016359796,FALSE,,uncertainty,1,1
0.52119382,0.47880618,"I proposed--and the Congress enacted--the most comprehensive program in history to train more doctors and nurses and dentists, to train them faster and more effectively, to attract them to small towns and inner cities and other places where they are now in short supply. In the last two years we have more than doubled federal support for cancer research. We have stripped away the red tape from our cancer programs. We have made them directly accountable to the president.",2353_2,0.042387641,FALSE,,uncertainty,0,0
0.000139704,0.999860296,"All right. That's the second point now. Paris Conference, this June. You remember. You remember Khrushchev shaking his fist in Eisenhower's face at the conference. Apologize, he said, for the U-2 flights that the President had ordered for defending the security of the United States. Apologize and express regrets. The President of course refused, kept his dignity, but refused, as he should, because no President can ever apologize for defending the United States against anybody. ",1870_30,0.999720591,FALSE,FALSE,random,0,0
0.000145424,0.999854576,"Now I am going along. I am going to Chattanooga, and I am going to Baltimore, and I am going back into Washington tonight, and to Florida and Georgia tomorrow, and all across this land all next week. I am not going to talk hate. I am not going to preach doubt. I am going to try to appeal to the best that is in us all, because I think men, regardless of their religion, their politics, their race, or their region or their party--I believe they want to do what is best for America. And that is all I am going to ask any American to do.",1958_24,0.999709153,FALSE,FALSE,random,0,0
0.000119441,0.999880559,"The gridlocked Democrat Congress has said No. So, beginning tonight, I will enforce the spending freeze on my own, and if Congress sends me a bill spending more than I asked for in my budget I will veto it--fast. Faster than copies of Millie's book sold.",3064_33,0.999761117,FALSE,FALSE,random,0,0
0.567495987,0.432504013,"And just after our tax cuts, he said the most he could see was an anemic recovery. Now, that was right before the United States economy created more than six million new jobs in twenty-one months. And there have been 900,000 business incorporations in the last eighteen months.",2857_12,0.134991974,FALSE,,uncertainty,0,0
0.577367249,0.422632751,"VOICES:  Sock it to `em! VICE PRESIDENT HUMPHREY:  Exactly 12 weeks from tonight that new president will have spent his first full day in the White House, and from--on January 20th, when the balloons have collapsed, the confetti is gone and the television commercials are silent and the crowds have gone home, on January 20th a president and a vice president will stand together on the steps of the Capitol in Washington and they will take the solemn oath as president and vice president of these United States of America, and under the president's leadership this country, this great country of ours, will take its direction and so will the world.  The choice that the American people make six days from no, just six days, will chart, I believe, the course for all mankind, because it is still true that Lincoln--as Lincoln put it, that America is the last best hope of earth, and when we vote here, we do not merely vote for ourselves or for the generation that is ours.  We vote for generations yet unborn, and above all we vote for mankind.  So I want to talk to you tonight about a course, about what kind of a president that I would hope to be if the people would give me that chance.",2130_17,0.154734498,FALSE,,uncertainty,1,1
0.458982849,0.541017151,"Just two years ago this Friday in one of the proudest moments of my presidency I signed the 1994 Crime Bill. We began to put 100,000 police on our streets. We're about halfway home now. We have about 500 already funded in Colorado, five right here in Pueblo. We made three strikes and you're out the law of the land. We began helping states to build 100,000 new prison cells. We began to expand prevention programs so our young people would have something to say yes to, not just no.",3203_18,0.082034302,FALSE,,uncertainty,0,0
