,speech_par_id,text,label_bart,label_oscar,agreement,label_yuchen,,final_label
1,2382_1,"We saw an abandonment of the commitment to better housing, better education, and fair tax structures, and an end to power of special interest group influence that had robbed poor people and working people of this country so long. I think part of it is the difference between the two parties--the party of Harding, Hoover, Nixon, and Ford on the one hand; and the party of Roosevelt, Truman, Kennedy and Johnson and Carter on the other hand. Part of it is the party; part of it, too, is the attitude of the leaders. I believe it is time now for us to restore what we have lost. I'm part of the South, and as I have said many times, in Mississippi, Alabama, Louisiana, Georgia, Florida, the Carolinas, and Tennessee, the best thing that ever happened to the South was the passage of the Civil Rights Act. The granting to the black people of an equal opportunity. It not only liberated the blacks, but it also liberated the whites of our region. But now we still have the quiet, not so highly publicized discrimination, against the poor, against the average working American family who have lost their jobs, who are robbed by inflation, who have an insensitive government, who see their rights not protected any further.",not populist,populist,FALSE,populist,,
2,2016-10-18-colorado-springs-colorado_21,"Another series of leaked e-mails show top officials in the Clinton campaign scheming to take massive sums of money from registered foreign lobbyists. And then you wonder why we do so badly. But you don't hear the media talking about that at all, do you? You don't see it at all. As WikiLeaks proved, the media, is merely, and it truly is, it's just an extension of the Clinton campaign.",populist,not populist,FALSE,populist,,
5,2286_8,Those are things an administration which cared about working people would not do. For such an administration would give workers a voice in the decisions that shape their lives. And such an administration would know that it was muscle as much as money that made this country what it is today.,not populist,populist,FALSE,populist,,
8,3048_35,"I mean, in this administration, the President says trust me with four more years. But I look at Washington every day and I find the Justice Department is investigating the FBI and the FBI is investigating the Justice Department. They don't have any time for crooks any more. They've got to look into each other now.",populist,not populist,FALSE,not populist,,
17,3372_13,"I also want to give parents--working parents--low-income parents and low-middle-income parents--the opportunity to send their children to the school of their choice--because I believe--I believe no child--I believe no child in America--and I know many parents with low income don't have the choice--but no child in America should be forced to attend a bad or a dangerous school. And we will change that in my administration. But Bill Clinton disagrees. He would rather take advice from the powerful unions and their leadership in Washington. But in my administration, my top education advisors will be America's parents and America's teachers--America's parents and America's teachers.",populist,not populist,FALSE,not populist,,
26,2828_26,"When I said the elderly citizens being frightened--again, these repeated charges that somehow we're nursing a secret plan to undercut the people who are on Social Security and reduce or remove their benefits--I said it on Sunday night, and I will say it again: There is no one in this administration--and if there was, they wouldn't be here long--that has any intention of taking Social Security away from those people who have it and who deserve it. We see things differently, as I said, because we see ourselves in a springtime of hope, ready to fire up our courage and determination to reach high and achieve all the best. We see a life where our children can enjoy--at last--prosperity without inflation. We see a life where they can enjoy the highest of creativity and go for the stars, not have their hopes and dreams crushed by politicians or taxed away by greedy governmentalists.",populist,populist,FALSE,not populist,,
29,2016-10-29-center-phoenix-arizona_14,"Restoring honesty to our government, and the rule of law to our society, will be my highest priority as President. Haven't we had enough drama with the Clintons? Bill Clinton was impeached for lying and obstructing justice, signed the worst trade deal in history, NAFTA, which emptied our country of it's manufacturing jobs, and he doesn't even have the right to practice law.",populist,not populist,FALSE,populist,,
33,2004-09-15-economic-club-2_15,"Our opponents see an America where more of the tax burden is paid by those who work the hardest and not those who have the most – where a fireman who works overtime to save lives pays higher tax rates than a billionaire who just inherited a fortune. We believe in an America that rewards work with lower taxes and higher incomes. Our opponents see an America where the powerful and well-connected are the first priority. We believe in an America where the first priority is the great middle-class and those struggling to join it – to be able to save money, create wealth, create the businesses of tomorrow. We want all Americans to have the chance to be millionaires and billionaires.",not populist,populist,FALSE,populist,,
37,1361_9,"--the Eisenhower administration has acquiesced in the new merger movement, which has led to bigger and bigger banks and corporations. --it has favored the biggest of the big businesses in its award of government contracts, and the Department of Defense even changed the way of presenting the report on contracts to conceal the fact that the biggest contractors were General Motors and the other big corporations. Incidentally, I was struck this morning by a speech which the President's chief economic advisor, Dr. Arthur Burns, made yesterday out in Ohio. Dr. Burns said we must solve """"the income problem"""" of farmers. And he said we must correct chronic unemployment in some cities. And he expressed concern about persistent poverty in the South. And he said that there should be a better distribution of government contracts--more should go to small business. And he said, and here I quote, """"Some tax relief for small business is long overdue.""""",not populist,populist,FALSE,not populist,,
38,2016-07-21-national-convention-cleveland_26,I am your voice! I have embraced crying mothers who have lost their children because our politicians put their personal agendas before the national good. [disruption in the audience],not populist,populist,FALSE,populist,,
