Speech_id,text,junk,party,term,comp,populist_old_keywords,par_id,speech_par_id,length
2133,"And that choir, or that singing and choral group, listen, is there any chance that I could just take this band and group with me from here on out?   Are you ready to go?   VOICES:  Yes!",0,dem,1968,TRUE,FALSE,1,2133_1,36
2133,"VOICES:  We Want Humphrey! VICE PRESIDENT HUMPHREY:  You have got him.  He is right here.  And the distinguished Attorney General, Mr. Kellem, and the Secretary of State, Mr. Hare.  And the two next congressmen that we need for the 3rd and 4th Districts, Tom Keenan--and John Martin from the 4th District. ",0,dem,1968,TRUE,FALSE,3,2133_3,51
2133,"VOICES:  We want Humphrey!   VICE PRESIDENT HUMPHREY:  My dear, and Humphrey wants you.  The question is for every voter, and the question is for those yet to be voters, because they have a new and a great influence in our country, is whom can we trust, in fact you will have to answer this question very personally in the quiet and secrecy of the voting booth, whom do you trust with the presidency, the highest office in the gift of this land.  ",0,dem,1968,TRUE,FALSE,8,2133_8,82
2133,"VOICES:  You!  You! VICE PRESIDENT HUMPHREY:  And you have to answer a second question, whom do you trust, whom do you trust to stand just one...",0,dem,1968,TRUE,FALSE,9,2133_9,26
2133,"VOICES:  Humphrey!  Humphrey! VICE PRESIDENT HUMPHREY:  whom do you trust to stand just one heartbeat, one heartbeat away from the presidency?  ",0,dem,1968,TRUE,FALSE,10,2133_10,21
2133,"VOICES:  Muskie! VICE PRESIDENT HUMPHREY:  And it really boils down to whom do you trust for the future of America. Now, it is that beautiful word """"trust"""" that means so much, and it is a word that is like a contract, it is a bond.  The element of trust binds our democracy together.  Trust in each other carries us through the most difficult and turbulent times, like trust in a family, and trust in each other gives the people and the president facing together the strength that we are going to need to build a better America, a just and prosperous society, an open society for every American, no matter who he is or how he looks, his race, his creed or his color, because every American deserves the best that we have to offer in our country.  ",0,dem,1968,TRUE,FALSE,11,2133_11,138
2133,"Now, Ed Muskie, my running mate, and isn't he a wonderful man? VOICES:  Yes! VICE PRESIDENT HUMPHREY:  Ed Muskie and I have come with you, or come to you, with our campaign and our statement of issues.  We have literally the dust of America on our shoes from our many walks and travels, and we have shaken your hands and we have looked into your eyes, and we have heard your cheers as I have heard them tonight, and we have listened to your complaints, and we have some to you, the American people, in audiences like this, open to anyone, on street corners, wherever we can go.  We have come because we care and because we have the basic belief in the ability of the American people to make honest judgment.  We haven't screened our audiences, we haven't tried to sanitize them or deodorize them or pick them or select them.  We have just gone to the people, to the poor and the rich, to the city and the rural, into the ghettos, and on the great avenues of New York, we have been there, and we think that we have had a message to give and that message is that we represent a party and a government that cares about people, and a party and a government that cares about people is fulfilling what Thomas Jefferson once said is the only legitimate objective of government, and what did he say it was?  The welfare and the well-being and happiness of the people.",0,dem,1968,TRUE,TRUE,12,2133_12,254
2133,"VOICE:  Tell us why you killed the Americans, you pig.   VOICES:  We want Humphrey! VICE PRESIDENT HUMPHREY:  All right, all right.  ",1,dem,1968,TRUE,FALSE,14,2133_14,21
2133,"VOICES:  Throw him out! VICE PRESIDENT HUMPHREY:  Sit down.  Please be quiet, let this man speak. ",1,dem,1968,TRUE,FALSE,15,2133_15,16
2133,"VOICE:  I thank you for the opportunity to speak.   VOICE:  Sir, I thank you for the opportunity to speak.  I had no desire to speak, but I have very strong feelings.  I feel that the issues of our country are very, very important as you have brought out.  Sir, I feel that the issue of war and peace is essential.  I feel and I believe many Americans feel that while you may end this war, I would like to know what you are going to do.  Is a new war going to be in Thailand? ",1,dem,1968,TRUE,FALSE,16,2133_16,95
2133,"VICE PRESIDENT HUMPHREY:  Thank you, thank you.  Thank you.  May I ask this audience, may I ask to let this young man speak.  Are you through?",0,dem,1968,FALSE,FALSE,17,2133_17,26
2133,"Before this young man leaves, may I say that every man is entitled to his point of view.  I just wish he would address me by my right name, that is all.  VOICES:  Humphrey!  Humphrey",0,dem,1968,TRUE,FALSE,18,2133_18,35
2133,"VICE PRESIDENT HUMPHREY:  Dear friends, don't let one unhappy and indiscreet moment break up what is a good meeting.  People have a right to their point of view.  I just regret that sometimes it is expressed in terms that are not always as polite as they would like.  We all make mistakes.  I don't stand here in a glass house.  Let me just repeat what I said a moment ago.  We have told the people the truth as we saw it, and we told the people the truth about Vietnam, and that peace, I say again, is closer tonight, thank God.  Hanoi has agreed to proceed with prompt and productive discussions.  The President has taken an action by his order for the cessation of bombing of the North that I believe will have the support of the vast majority of the American people.  I know that I support it.  Now let us hope we make--now let us really hope and reverently pray that the negotiations which are underway in Paris will now be able to move forward towards a truly honorable and lasting settlement.  This is the desire of the American people because the work of this nation is then--has been and continues to be the work of peace, peace here at home amongst ourselves and peace in this troubled world that surrounds us, and let us dedicate ourselves tonight by word and deed and prayer and thought to the attainment of that wonderful objective of harmony at home, peace at home, and a real genuine peace abroad.  This is what we have addressed ourselves to.  ",0,dem,1968,FALSE,TRUE,19,2133_19,266
2133,"VOICES:  Humphrey!  Humphrey! VICE PRESIDENT HUMPHREY:  That was a pleasant thought--your next president has some awesome responsibilities, and this is why he needs along side of him a man of great integrity, competence, maturity, experience and responsibility.  In this election you are not voting for just one man.  You are voting for president and vice president.  You are voting for a man to be your president and another man that stands a heartbeat away.  You are voting in a time of unprecedented events, of uncertainty, and, my friends and fellow Americans, the first test of a presidential candidate is what kind of a man did he select as his running mate, and I ask you to think of that as you go to that voting box.  I ask you to think about the possibilities that could happen in this country.  I do not like to think of them myself, because they carry with them tragedy, personal tragedy, at least for one, but you must think of your country and so must I, and we must think of the future of this country, and not just of its present moment.  So that its next President must have a working partner with him, and if you elect me as your president, there will be a trustworthy, competent working partner standing along side of me to work with me.  ",0,dem,1968,TRUE,FALSE,32,2133_32,226
2494,"Thank you very much, Governor Jim Edwards, Senator Strom Thurmond, Congressman Floyd Spence: I can't express deeply enough my appreciation for the hospitality of Jim and Ann and this wonderful turnout here in this just gorgeous mansion and the grounds. I thank you all for your very warm and generous hospitality. It's great to be in South Carolina.",0,rep,1976,TRUE,FALSE,0,2494_0,58
1823,"Significantly, this kind of effort has been a discernible part of the American character and the American purpose from the beginning of our country.  Early in the 19th century the French observer, De Tocqueville, noted this difference between the American character and the Russian: """"The American struggles against the obstacles that nature opposes to him,"""" he wrote, """"The adversaries of the Russian are men.  The conquests of the American are therefore gained by the plowshare; those of the Russian by the sword.""""",0,rep,1960,FALSE,FALSE,35,1823_35,82
2331,"Mr. Secretary, all of the distinguished guests at the head table, and all of the distinguished guests on this occasion here in Washington: I consider it a very great privilege to come in to your dinner right at the dessert course and to participate in it in a way that I think not only honors the man we are going to honor, but honors the office of the president of the United States. An award is being made tonight, I understand, for the first time by this organization.  It is Amerito's Outstanding Citizen Award.  All of you know to whom that award is going to be made.  He is sitting here at this head table, along with his wife, and so, consequently, it will be no surprise when I read the citation.  I will speak briefly about him.  He will respond as he receives the award, and then I will have the opportunity to speak to you briefly about the general subject that brings you all here together on this occasion, and annually.",0,rep,1972,TRUE,FALSE,0,2331_0,173
