Speech_id,text,length,par_id
2682,"But we can turn those policies around, reinvigorating economic growth and putting America back to work.",103,998
2682,And we should start by repealing the social security earnings limitation.,73,999
2696,I would like to have your support. ,35,998
906,"A democracy is a live society--and growth is the essence of life. We are by no means satisfied--nor will we ever be. There is tomorrow to conquer--and to improve. That you, the citizens of Genessee County, are aware of these issues is reflected in the fact that 79 percent of you who are eligible voters are already registered. I hope all the rest of the eligibles register too, and that in November you do your duty as citizens of this great Republic which carries the hopes and fears of all the world.",503,998
906,"You will hear a lot about the need for a change. You will hear the Republicans say that the Democrats have been in too long. Remember what my friend Congressman Bill Dawson says: ""How long is too long, if it's good?""",216,999
2872,Thank you all very much.,24,998
2899,Thank you very much.,20,998
2641,Thank you very much.,20,998
1348,"Thank you, Mrs. Roosevelt. And thank you all. Goodbye.",54,998
2127,We can do it.  But I need your help.  Not just to win this election but to create a new world for the 1970s.,108,998
2127,"America needs your ideas, your experience, and your talents.  America needs you, every one of you, and now.",107,999
3239,"When the teen birth rate drops for four years in a row and out-of-wedlock births decline for the first time in a generation, that is news we can all be proud of. Americans are standing up for our values. The American family is getting stronger and we are making responsibility a way of life. Our economy and our society are on the right track. If we continue to pull together, to meet our challenges and protect our values, our best days are still ahead.",454,998
3239,Thanks for listening.,21,999
2133,"He must enforce the laws but he must also work to see that the laws are just.  He must insure order, but he must also see that every injustice an every inequity and wrong is righted.  These are the things that I want for America.  These are the reasons that I come to you to ask for your help, not your help only for me, because I am involved as a candidate, and you are involved as the popular sovereigns of this country, and on election day you will be heard.  On that day the power of the ballot becomes the most powerful instrument in the hands of the people.",563,998
2133,"These are the things that I have outlined tonight that I think that we can do, and these are the things that we will have if you will give me your help.  And I ask you to go out now and work these last days as you have never worked before.  I ask you to see that every voter votes.  I hope he will be able to vote for our ticket.  But, above all, I want him to perform the duty and the privilege of American citizenship, and I call upon the young in this audience below voting age to make themselves committees of one in their own homes to make sure that every person of twenty-one years of age and over is at the ballot box early to cast a vote for this last best hope of Earth which is your country and mine--let's take care of it--so help me God. ",750,999
2655,A Reagan administration will be committed to producing as much energy as we can here at home. And that requires one essential step--the prompt phase-out of all price controls on natural gas. ,191,998
1374,It is the Democratic purpose to use our individual and social intelligence to keep opportunity alive for every American. Because we believe this--because our record for a century and a half has shown our devotion to this ideal--is I believe the reason why you American businessmen are here today--why you think the Democratic party is entitled to your support in this fateful election.,385,998
3205,Thank you. God bless you. Let's go get it.,42,998
1412,Thank you very much.,20,998
3211,"And so when you see--that's the last thing I want to leave you with. I don't want to build a bridge that you only get to walk across because you're better than somebody else because of an accident of birth. I want to build a bridge that anybody can walk across if they say I believe in the Constitution, the Declaration of Independence, the Bill of Rights; I believe in the fundamental dignity of all people; and if you're willing to show up for work tomorrow, play by the rules, and love this country the way I do, I'll hold your hand and we'll build a bridge we can walk across together.",589,998
3211,"And if you'll do that, we'll have a great victory in November. Thank you and God bless you.",91,999
2669,"With your help and prayers, and with God's blessing, we will build peace, we will make peace grow.",98,998
2669,"In all we do we must truly be peacemakers, for ourselves and for our children, for our nation and for the world.",112,999
1360,"Now the United States has been in a number of wars, and I have always thought most of the credit for ending them belongs to the soldiers who gave their lives to stop the enemy. If, however, the Republicans think this honor should go to political leaders, then I might point out that the two greatest wars of all time were stopped by Woodrow Wilson, Franklin D. Roosevelt and Harry Truman.",388,998
1837,"So, this is my message to you today.  If, clearly apart from the parties of which we are members, clearly apart from any labels we may wear, you in your hearts believe that Cabot Lodge and I are the men America needs in this critical period, then I say: here's your chance to strike a blow for freedom, to strike a blow for peace by working between now and election day in this great crusade or peace and freedom for all mankind.",429,998
1837,Thank you very much.,20,999
2480,"Let me say, before I have an opportunity to come down and shake hands with all you wonderful folks from Illinois, that your Senator, Chuck Percy, is going to introduce some outstanding citizens from all over the country who have come and joined us at Joliet, who are traveling with us on this trip from Joliet down south. So, while some of us start over here, Chuck is going to introduce them. And I thank them for joining Betty and me, indicating their support for what we've done and what we will do to make a better America. We will be down there.",550,998
1189,Thank you a lot for listening.,30,998
2494,"But as I close, let me reemphasize, we have a chance to go forward together. And I promise you once more, as I promised you before, to uphold the Constitution, to do what is right as God gives me the right--or to see the right--and to do the very best that I can for America. God helping me, I won't let you down.",313,998
2494,Thank you very kindly.,22,999
2325,"But the most important thing that I want to tell you is this: I have spoken of the world.  Along with Mrs. Nixon, we have visited most of the countries of the world, in fact, over eighty.  And every time you come back to the United States you know that the people fortunate enough to live here are the most fortunate people in the world.  This is a great country.  Let's never forget that.",389,998
2443,"Thank you very, very much.",26,998
2457,AIR ,4,998
