,Unnamed: 0,Speech_id,par_id,text,party,term,comp,label,drawn,high_pride_yl,low_pride_yl,auth_yl
0,0,2192,27,"The fact of the matter is that we find in the United States today the wage earners, looking over the past three years, have had an increase of between $11 and $14 a week in their pay checks, but actually because of increases in prices and increases in wages, the housewife has $2 less a week to spend. I say that's wrong. American labor has been on a treadmill and falling behind. We are going to get him off the treadmill. We are going to stop the rise in prices and stop the rise in taxes in the United States of America.",rep,1968,TRUE,0,randomly,0,1,0
1,1,1987,25,"The first thing you do Tuesday morning is get up and go and exercise the privilege that so many people in the world don't have--a private, a secret ballot.  The citizens all over America will be doing the same thing.  There will be 75 million of them.",dem,1964,FALSE,0,randomly,0,0,0
2,2,3156,11,"Governor Clinton is talking about ""Well, we really need change."" He wants to put the White House in the same hands of the big spenders in Congress. The last time we had this, do you remember what the ""misery index"" was? They invented it--20 percent; it's now 10. Do you remember what the interest rates were? Twenty-one and a half percent, with Carter in the White House and the libs controlling the Congress. We cannot go back. We have got to go forward by getting government spending down and our taxes down.",rep,1992,FALSE,0,randomly,0,1,0
3,3,1402,18,"In the meantime, wages have been raised and the cost of living has been extraordinarily stable in the last three years. It is true that you can say technically the cost of living is high. It has gone up 2.5 percent since we have been in, but it went up 45 percent or more in the last seven years of the preceding administration.",rep,1956,FALSE,0,randomly,1,0,0
4,4,3226,41,"And when people need it, they're smart enough to figure out what they need, I believe; that's the reason these institutions are open. If nobody had enough sense to come to them, they would shut down, right? I mean, by definition, our people--they figure out what's best for them.",dem,1996,FALSE,0,randomly,0,0,0
5,5,3016,34,"Look at this. We had a chance to sell 30,000 metric tons of pork to Russia, but George Bush sat on the deal for eight months, waiting to turn it into politics. We had a chance to sell massive amounts of grain to Russia, grain from Iowa, rice from Arkansas, but he would have had to extend credits. That's what they're there for. He sat on it and diddled around with it, and finally, other countries got the sale and our farmers got the shaft. I think we can do better, and I will.",dem,1992,TRUE,0,randomly,0,0,0
6,6,3366,57,"And finally, we must bring home growing the economy to every community. Quotas are designed to divide the economic--existing economic pie into smaller and smaller and smaller pieces. But, if we create growth and opportunity where everyone can succeed without taking from someone else--and I read a piece in this mornings news--why are you having trouble with your economic package, your tax cut? This independent survey, they said, 81.5 percent of the media coverage has been negative. So, when they're out there every day saying how bad it is. How do you expect anybody to believe in it?",rep,1996,TRUE,0,randomly,0,0,0
7,7,2602,3,"In 1948, nobody thought Truman would win. But the working people saw that he had stood strong for them and, at the last minute, because of overconfidence on the Republican side, he won reelection. That's a good story. In 1960, if 28,000 people in Texas had changed their vote and a few thousand in Illinois, John Kennedy would never have been president of this country. That's a good story. In 1968, a lot of people were for Gene McCarthy. Hubert Humphrey got the nomination. The McCarthy Democrats said, ""Hubert Humphrey's not perfect. he served in the Lyndon Johnson administration. We can't vote for him.""",dem,1980,FALSE,0,randomly,0,0,0
8,8,2016-08-16-west-bend-wisconsin,9,"For every one violent protestor, there are a hundred moms and dads and kids on that same city block who just want to be able to sleep safely at night. My opponent would rather protect the offender than the victim. Hillary Clinton-backed policies are responsible for the problems in the inner cities today, and a vote for her is a vote for another generation of poverty, high crime, and lost opportunities.",rep,2016,TRUE,1,randomly,0,0,0
9,9,1870,6,"Now, why do I say this decision is bigger than the Republican party and bigger than the Democratic party? I say it because this year, 1960, we are electing not only the leader of America, but the leader of the free world. This year, 1960, we elect a man who will determine what will happen in the United States, but also who will determine what will happen in the world, and I say it is not enough simply to vote on the basis of how your father voted or your grandfather voted or the label you may wear. What we must do is to put America first and the party second--and that is best for us and best for America. ",rep,1960,FALSE,0,randomly,0,0,0
10,10,2305,19,"But that steady progress does not satisfy everyone. The master planners who want more power in a central government believe they know what is best for the welfare of every locality. They fail to see how their zeal sets back the cause of good race relations, of orderly desegregation, and of quality education.",rep,1972,FALSE,0,randomly,0,0,0
11,11,1347,21,"The magazines and newspapers, which denounce government intervention most lustily, are all subsidized by the U.S. Post Office--but that is not, it seems, ""legalized"" or even ""creeping socialism."" Nor do airlines, for example, complain of the assistance they get as mail carrier. The private power companies--surely among the most active critics of governmental activity--have no objection to the billions of dollars worth of government financed and directed research, experiment, and pioneer construction which is being made available free to the private builders of atomic power plants. Nor has any private company blushingly returned its tax write-offs for accelerated plant construction on the grounds that it is robbing the citizens of their tax money.",dem,1956,TRUE,0,randomly,0,0,0
12,12,1165,4,"Now, the government has stumbled and fumbled in failing to bring us closer to peace.  In the last seven years look what has happened to us.  We stopped the shooting war in 1945 the strongest military nation in the world, to say nothing of our academic strength and our spiritual, intellectual, scientific and moral strength.  We were the greatest military nation on the globe.",rep,1952,FALSE,0,randomly,1,0,0
13,13,1987,31,"Let's don't try to threaten people by ultimatum and tell them what we will do with our bombs.  Let's try to reason out with them some way to avoid war, like the ""hot line,"" like the agreement in space, like the nuclear test ban treaty that President Kennedy worked out.  All of these are small steps, but they are steps that can save you and make it possible for us to survive.",dem,1964,FALSE,0,randomly,0,0,0
14,14,2873,18,"If my opponent's campaign were a television show, it would be ""Let's Make a Deal."" You trade your prosperity for whatever he's got hidden behind the curtain. If it were a Broadway play, it would be ""Promises, Promises."" And if it were a book, you would have to read it from the back to the front to get a happy ending.",rep,1984,FALSE,0,randomly,0,0,0
15,15,3366,56,"And no one suffers more from violent crime, repeat offenders than the large, silent decent majority in our inner cities. And no one would benefit more from keeping violent criminals behind bars which we will do in our administration. Keep them locked up. They're not going to commit any crimes. If they commit a violent crime, they go to jail. And they stay in jail and they serve their time.",rep,1996,TRUE,0,randomly,0,0,1
16,16,2868,18,"His tax plan would bring our recovery to a roaring stop. You know, if my opponent's campaign were a television show, it would be ""Let's Make a Deal."" You trade your prosperity for what he's got hidden behind the curtain. And if his administration were a play on Broadway, it would be ""Promises, Promises."" And if it were a book, a novel, you'd have to read it from the front to the back in order to get a happy ending.",rep,1984,TRUE,0,randomly,0,0,0
