,Speech_id,par_id,text,party,term,comp,label,drawn
0,3050,25,"We need to do something for first-time non-violent offenders, put them in community-based boot camps where they can work for the community, get drug treatment and education. We need new ideas. We do not need more government; we need government that works, that is effective, that invests and holds people accountable.",dem,1992,FALSE,not populist,randomly
1,2988,20,"Our people are pleading for change, but government is in the way. It has been hijacked by privileged, private interests. It has forgotten who really pays the bills around here--it's taking more of your money and giving you less in return.",dem,1992,FALSE,populist,randomly
2,2942,4,He's reading the polls.  We're taking our case directly to the American people all over this country.  He thinks he can inherit the White House.  I think you've got to earn the right to be the next president of the United States.,dem,1988,FALSE,not populist,randomly
3,2418,34,"As I try in my imagination to look into the homes where families are watching the end of this great convention, I can't tell which faces are Republicans, which are Democrats, and which are Independents. I cannot see their color or their creed. I see only Americans.",rep,1976,FALSE,not populist,randomly
4,897,6,"The constructive spirit of the great Democratic decades must not die here on its twentieth anniversary in destructive indignity and disorder. And I hope and pray, as you all do, that we can conduct our deliberations with a businesslike precision and a dignity befitting our responsibility, and the solemnity of the hour of history in which we meet. For it is a very solemn hour indeed, freighted with the hopes and fears of millions of mankind who see in us, the Democratic Party, sober understanding of the breadth and depth of the revolutionary currents in the world. Here and abroad they see in us awareness that there is no turning back, that, as Justice Holmes said, """"We must sail sometimes with the wind, sometimes against it; but we must sail and not drift or lie at anchor."""" They see in us, the Democratic Party that has steered this country through a storm of spears for twenty years, an understanding of a world in the torment of transition from an age that has died to an age struggling to be born. They see in us relentless determination to stand fast against the barbarian at the gate, to cultivate allies with a decent respect for the opinion of others, to patiently explore every misty path to peace and security, which is the only certainty of lower taxes and a better life.",dem,1952,TRUE,not populist,randomly
5,3031,25,"The Congress passed a bill twice that would have provided basic family leave with an exemption for small business, for people when they've got a baby born, or a sick child or a sick parent. You know, seventy--two nations--seventy-two nations--will give a working person a little time off to go home and take care of their parents or their kids without pay, without losing their jobs. And this president vetoed that bill twice. He said we can't do something that seventy-two countries can do.",dem,1992,FALSE,not populist,randomly
6,2396,10,"Another thing that we don't have in this country is plans for the future. President Ford and the Republican administration have no plans, no concepts in the field of energy. We're the only developed nation in the world that doesn't have a comprehensive energy program. We have no concept of what we hope to achieve in the field of transportation or agriculture or education or welfare or health or taxation. This is a devastating obstacle which prevents cooperation between the federal, state, and local levels of government and between government at all levels and the business and professional and labor and agricultural and educational and scientific communities. We've got to have clear plans to show us a goal so that we can reach them at the end of two years or four years or five years or ten years or even more. We did this in Georgia. It worked very well. It works in many other states, and it can and it will work in Washington.",dem,1976,FALSE,not populist,randomly
7,2157,12,"We find that unless there is a change, a real revolution in terms of institutions in Latin America, our friends and neighbors in the south by the end of this century will be destined to be a permanent depressed area of the world with their per capita income one-fifteenth--that is what it will be--of that of the people of the United States of America. So you see the seeds of revolution that are there potentially in the future, unless new policies are developed. We turn to the Mid-East. The Mid-East was a troubled place then. It is a troubled place now, but the difference is a new dimension that has been added to that struggle. Then the Soviet Union was not stirring up the trouble and today it is. But for what the Soviet Union did before the June war, there would not have been a June war. But for what the Soviet Union has done since the June war in rebuilding the forces of the U.A.R. and Syria, there would be no serious threat of another war in the next two or three years.",rep,1968,TRUE,not populist,randomly
8,1174,32,"The program I have outlined demands skilled and purposeful leadership. It demands harmony and understanding between the executive and legislative branches of our government. It will demand an end to what the Senate Preparedness Subcommittee has called """"abuse, misuse and disuse of power.""""",rep,1952,FALSE,not populist,randomly
9,2097,54,"Now, let's just talk together a little bit about this American family of ours. There are people in this country that are fearful, there are whites who fear blacks and there are blacks who fear whites, and there are those who spread this doubt, and they spread this suspicion, there are angry voices. We Americans have to understand that we have ways and means of working out our difficulties without anger, without hate, without doubt, without suspicion.",dem,1968,TRUE,not populist,randomly
10,2016-10-22-plane-pittsburgh-pennsylvania,16,"I am going to keep talking about what we want to do, what we think the country de-serves from the next president and vice president. And actually when it comes right down to it, that is what I think people end up voting on. Thank you all very much.",dem,2016,FALSE,not populist,randomly
11,2012-09-25-york-city-12,35,"And it is because of the progress that I've witnessed in my own lifetime, the progress that I've witnessed after nearly 4 years as President, that I remain ever hopeful about the world that we live in. The war in Iraq is over; American troops have come home. We've begun a transition in Afghanistan, and America and our allies will end our war on schedule in 2014. Al Qaida has been weakened, and Usama bin Laden is no more. Nations have come together to lock down nuclear materials, and America and Russia are reducing our arsenals. We have seen hard choices made—from Nay Pyi Taw to Cairo to Abidjan—to put more power in the hands of citizens.",dem,2012,FALSE,not populist,randomly
12,3232,17,"Now, let me say one other thing. Mr. Lampson's opponent and a lot of other people made a lot of headway four years ago, going out to Texans and to people in my home state and around the country saying, well, that fool President's trying to take your gun away. That's what that Brady Bill's all about. That's what that assault weapons ban's all about. He wants to take your gun away. He's going to interfere with your Second Amendment rights. And you know, no one knew in 1994, and it was pretty scary.",dem,1996,FALSE,not populist,randomly
13,3365,23,"Let me say a word--I don't see any seniors here. But if one shows up, I want you to pass this on. He talks about Medi--well, Medi-scare, we call it--he talks about Medicare and what Bob Dole would do to Medicare and what I would do to student loans.",rep,1996,FALSE,not populist,randomly
14,1945,22,"Let's say to these men of little faith, the doubters and the critics, who sometimes become frustrated and other times become bitter--let's say, """"Let's turn the other cheek,"""" and say, """"God forgive them, for they really know not what they do."""" Here in New York, the leading state in the union, let all the people of all religions, of all ancestries, regardless of how they spell their name, of all colors, of all faiths--yes, of all parties--let us, as good Americans first, do not what is just good for the Democratic party, or the Republican Party. Let us on November 3rd go and do what each of us in our own conscience tells us is best for our beloved America.",dem,1964,TRUE,not populist,randomly
15,2012-10-11-rally-miami-florida,36,This is the choice that we now face. This is what the election comes down to. This is why I'm running for a second term as President.,dem,2012,FALSE,not populist,randomly
16,2004-09-22-remarks-latrobe-pennsylvania,32,"Audience members. Boo-o-o! The President. He wants the Government to decide. When it comes to health care, I want you to decide. More than half of the Americans who are currently uninsured are small-business employees and their families. We've got to change law to allow small firms to pool together so they can purchase insurance at the same discounts that big businesses get.",rep,2004,TRUE,not populist,randomly
17,2016-09-16-symposium-washington-dc,12,"We're going to fight for the parents struggling to balance family and work and push for affordable child care, paid family leave, and yes, finally, equal pay for women. We'll fight for the young girls who want a fair chance in life, which is why we'll make universal pre-k available so that every child -- no matter what they look like or where they live -- can rise up and be prepared to fulfill their academic destiny. We are also going to do a lot to emphasize STEM education, particularly for girls and women, and I thank the agenda for making that a priority!",dem,2016,TRUE,not populist,randomly
18,3090,11,"Now, I want you to listen closely to him this fall, but you're going to do that, because on issue after issue he takes one position and then another. He's been spotted in more places than Elvis Presley on these issues. Let me give you some specifics. Take the issue, the question of whether to stand up to Saddam Hussein, the defining test of American leadership in the post-Cold War world. Two days after Congress followed my lead--and I had to fight to get them to do that--he said, and I quote, """"I guess I would have voted with the majority if it was a close vote. But I agree with the arguments the minority made.""""",rep,1992,FALSE,not populist,randomly
19,2016-11-07-grand-rapids-michigan,21,"And now, now we've got to come together and we have to prove we can meet the chal-lenges of our time. We've got to get the economy working for everybody, not just those at the top. If you believe, as I do, that America thrives when the middle class thrives, then you have to vote tomorrow.",dem,2016,TRUE,not populist,randomly
20,2939,7,They want you to forget that when the South Dakota legislature flew to Washington they wouldn't talk to them.  Remember that? They want you to forget that the value of farm exports is down $15 billion over the course of the past eight years.,dem,1988,TRUE,not populist,randomly
21,2492,19,"We have our problems, but in the last two troubled years we've come a long, long way. Our long national nightmare is over; four million new jobs have been created in less than two years; inflation cut more than half; trust has been restored in the White House; America is at peace. At home as well as abroad; we are putting our old angers aside; we are putting our old problems behind us and healing our wounds.",rep,1976,FALSE,not populist,randomly
22,3116,18,"I need this change in Congress. The only defense I've had to help the taxpayer is vetoing thirty-three bills in the United States Congress, standing up for fiscal discipline. I'll tell you what, though: You give me that line-item veto; Congress can't do it. Then watch us get the job done. ",rep,1992,FALSE,not populist,randomly
23,2004-09-24-remarks-racine-wisconsin,8,"Listen, what I'm doing is I'm telling you thanks for the grassroots activists. All of the people who have put the signs and get on the telephones and encourage people to register and vote, thank you for what you're doing, and thank you for what you're going to do as you're coming down the stretch. We're going to carry the State of Wisconsin.",rep,2004,FALSE,not populist,randomly
24,907,4,"What ought to be done by government for the public welfare should be done. There should be no wistful dragging of the feet or turning backward to a dead, irrelevant past.  Government should be competent. Its personnel must not be under the heavy hand of purely political selection or influence. It must not be afraid of raising and spending money for worthy purposes, but it must detest and fear waste and dishonesty as ever present threats to the whole moral basis of government by the consent of the governed because people don't consent voluntarily to be cheated or abused. ",dem,1952,TRUE,not populist,randomly
25,2975,39,"As I mentioned earlier, a generation of wise men, bipartisan, of many different views, worked together forty years ago to lay the foundations of the post-war era. Now that we are facing a new world, a different era, it is time once more for Americans to come together. Because by working together, we can extend the horizons of a free and peaceful world.",rep,1988,FALSE,not populist,randomly
