,Unnamed: 0,pop,Predictions_prob_0,text,speech_par_id,uncertainty,low_pr,high_pr,auth,exc,inc
3,4,0.9998337448069541,0.000166255193045852,"We saw an abandonment of the commitment to better housing, better education, and fair tax structures, and an end to power of special interest group influence that had robbed poor people and working people of this country so long. I think part of it is the difference between the two parties--the party of Harding, Hoover, Nixon, and Ford on the one hand; and the party of Roosevelt, Truman, Kennedy and Johnson and Carter on the other hand. Part of it is the party; part of it, too, is the attitude of the leaders. I believe it is time now for us to restore what we have lost. I'm part of the South, and as I have said many times, in Mississippi, Alabama, Louisiana, Georgia, Florida, the Carolinas, and Tennessee, the best thing that ever happened to the South was the passage of the Civil Rights Act. The granting to the black people of an equal opportunity. It not only liberated the blacks, but it also liberated the whites of our region. But now we still have the quiet, not so highly publicized discrimination, against the poor, against the average working American family who have lost their jobs, who are robbed by inflation, who have an insensitive government, who see their rights not protected any further.",2382_1,0.9996674896139092,0.99976221649388,0.000528871558471242,5.0121995064294204e-05,9.22868711508522e-05,0.9970793829293131
9,10,0.9998323144842809,0.000167685515719499,"And it was that same President who after two years of hard work by the Congress of the United States vetoed the most carefully constructed child development, family-related daycare center bill ever passed in the Congress of the United States--vetoed it on the grounds that this country can't afford to deal with the problems of working mothers and little children and these little ones who represent the future of this country. I ask you if we want four more years of that kind of presidential leadership.  Now the truth is that the old people who have had to struggle for every dollar that we have added to the retirement benefits--to do that over the opposition of this administration--the farmers who have had to fight for every dollar that they earn with their labor and their investment against the callousness of this big business, special interest administration--the housewife trying to grapple with the mounting grocery prices that confront us everyday--I say that none of these people can afford another four more years of the Nixon-Agnew policies and the time has come to elect new leadership in this country. And looking out on this crowd, many of whom are young people and some of whom have doubtless fought in Vietnam, others who may yet be called, considering the tragic costs of this long and seemingly endless war and remembering that President Nixon was the man who told us when he was seeking our votes just shortly before the 1968 election that those who cannot bring peace in four years don't deserve another chance, I ask you to join with me in doing what this slogan up here calls upon us to do: to bring America home from this killing and destruction and dying that has gone on for too long a time in Southeast Asia. ",2250_4,0.9996646289685609,0.999640420491567,0.00022643555988552,4.89680045770996e-05,7.84118657190864e-05,0.000389862273652304
12,13,0.9998318566534751,0.00016814334652441598,"I believe we can do better. I believe we can achieve Woodrow Wilson's vision of a nation that belongs not to the politicians or the privileged, but to the people who labor all day and go home tired in the evening. I believe that we can restore a leadership that stands for you, not against you--a government that is not for sale to anyone because it is fair to everyone.",2295_35,0.9996637133069509,0.999656876034153,0.000260265833044985,4.94870911967955e-05,8.45395341714165e-05,0.000337196709728296
14,15,0.999831723689833,0.000168276310166785,"I fight to restore the pride and principles of our party. We were elected to change Washington, and we let Washington change us. We lost -- we lost the trust of the American people when some Republicans gave in to the temptations of corruption. We lost their trust when rather than reform government, both parties made it bigger.",2008-09-04-national-convention-saint_29,0.9996634473796658,0.999763149514605,0.00021764773862688,5.62435052579701e-05,7.507962538514759e-05,0.000321203423592941
16,17,0.9998315595458421,0.00016844045415809598,"This country is the longest-lasting democracy in human history because whenever we had to, we sent the things-could-get-worse crowd packing--and it's time to do it again. In a race of hope against fear, of change against the same old ways, of grabbing for the future instead of clinging to the past, sometimes the most conservative thing you can do is to change, because the only way you can preserve and conserve what you care most about is to reach out to the realities before you. You know that, every one of you--you know that. And I say to you today, your vote counts every bit as much as mine or any other American's. You have the power to move this country forcefully into the future, you have the power to break the deadlock, the division, the gridlock in Washington between the Republicans and the Democrats, the gridlock imposed by the special interests, the gridlock dividing people by race and income and region. You can break them. But your numbers must be heard.",2996_42,0.999663119091684,0.0127357568839721,0.000769419630851108,4.85279112634851e-05,9.68345655424721e-05,0.9965296970353721
30,31,0.999829855421922,0.000170144578077875,"Now this Washington mess--where it is--what it is costing us, and how to get rid of it--this is something none of us should forget for a single moment between now and election day. Today and tomorrow, here in the Southland, I shall intensify my attack against corruption in government; against the heedless policies that nullify our thrift and erase our savings by inflation; against federal deficits and the failure to live within our means; against waste of our resources and our money; against arbitrary usurpation and seizure of power; against disloyalty in the federal service; against the whole tangled aggregation ofincompetence and expediency and bossdom. I do not predict the result of the election.  But I promise you this:  by the time it comes, the wasters, the bunglers, and the political connivers will be plenty worried about what you know about them and they will be plenty worried about what you may do tothem.",1092_15,0.9996597108438441,0.999724567960073,0.000216672407639325,0.999646591226133,0.00012890794554619399,0.000327341569582042
36,37,0.9998290960143721,0.000170903985628011,"Here I want to make my special salute to the oldest living veteran of the war between the states, Commander James Howard.  I would like to leave here some assurance of my respect and devotion to such a. Now, you know something of the record that this administration has piled up in the last two years, and you know how impossible it is for the opposition candidate to bring that record to you and ask you to give them a new lease on power in Washington on the basis of that record.  Why should they come to you and say, """"""""Yes, we have failed in leading you toward peace.  Yes, we have spent your money extravagantly and wildly.  We have established expenditures programs that we cannot meet.  We have deficits that have cheapened our money and pushed prices up to an unconscionable height.  We have disloyalty in government.  We have some chicanery and crookedness, some plain thievery in government.""""""""  How can they come to you with a record like that?  So what do they do?  They have been selling you a campaign of fear and hate.  They create bigotry by accusing others of it.  They have accused me of bigotry.  They have said nobody who has his origins or his kinship with people of eastern or southern Europe could expect any sympathy or decency from me.  I declare to you, I have more friends in those areas than any other American I now.  Those people and I have worked together, fought together.  We are friends.  Why should such a charge be launched against me except in the hope of creating schism, disunity and bigotry?",1281_4,0.9996581920287441,0.999719072667978,0.000235321750487904,6.64539662054159e-05,0.000137109609729581,0.0241975059267994
38,39,0.9998289652713691,0.000171034728630769,"The thing that makes me angriest about what's gone wrong in the last twelve years is that our government has lost touch with our values, while our politicians continue to shout about them. I'm tired of it. I was raised to believe that the American Dream was built on rewarding hard work. But we have seen the folks in Washington turn the American ethic on its head. For too long, those who play by the rules and keep the faith have gotten the shaft, and those who cut corners and cut deals have been rewarded. People are working harder than ever, spending less time with their children, working nights and weekends at their jobs instead of going to PTA and Little League or Scouts, and their incomes are still going down. Their taxes are going up, and the costs of health care, housing and education are going through the roof. Meanwhile, more and more of our best people are falling into poverty--even when they work forty hours a week.",2988_19,0.9996579305427379,0.9997677978636579,0.000529135775158385,5.2629333299278104e-05,8.057562711171391e-05,0.000395632326560615
47,48,0.9998283261792881,0.000171673820711937,"We've learned the concerns of tens of thousands of Americans in the communities where people live and work. And based on the first days of our journey, I am all the more certain that the American people want this nation to become once again the great and good land it ought to be. The people are tired of war and government by the special interests.",2228_4,0.9996566523585759,0.9997421411364201,0.000555477024777276,4.7995331021809204e-05,8.56040685287462e-05,0.000333287113055827
50,51,0.999827553288163,0.00017244671183666598,"Now as Senator Muskie has said, there is one way to do that, and that is for the people in this country who believe that government ought to be in the hands of the ordinary citizens of this land to unify, to come together in common cause. And we have one of the greatest unifiers and healers of the Democratic Party ever produced in the history of this country and that is Richard Nixon himself. So let us recognize that our common goal as Democrats, as members of organized labor, as those who covet a better future for this country than what we have in common is the desperate need to restore this country to the kind of government that represents the public interest rather than the kind of narrow and special selfish interests that have dominated our government in recent years.",2255_4,0.999655106576326,0.999654281239387,0.000246153158629864,4.90193283732622e-05,0.000109238145413149,0.000490407943217704
