,Predictions_prob_1,Predictions_prob_0,text,speech_par_id,uncertainty,already_annotated,already_sampled,drawn,label_bb,label_yl,agreement
36,0.36359011,0.63640989,"We may not agree on abortion, but surely we can agree on reducing the number of unwanted pregnancies in this country. The reality of gun ownership may be different for hunters in rural Ohio than for those plagued by gang-violence in Cleveland, but don't tell me we can't uphold the Second Amendment while keeping AK-47s out of the hands of criminals. I know there are differences on same-sex marriage, but surely we can agree that our gay and lesbian brothers and sisters deserve to visit the person they love in the hospital and to live lives free of discrimination. Passions fly on immigration, but I don't know anyone who benefits when a mother is separated from her infant child or an employer undercuts American wages by hiring illegal workers. This too is part of America's promise – the promise of a democracy where we can find the strength and grace to bridge divides and unite in common effort.",2008-08-28-national-convention-denver_38,0.27281978,FALSE,NA,uncertainty,neither,exclusionary,0
51,0.020467622,0.979532378,"Our first duty in the war on terror is to protect the homeland. This morning at the White House, I signed a strong law that will make our Nation more secure. With the 2005 Homeland Security Appropriations Act, we are providing essential funding for Coast Guard patrols and port security, for the Federal air marshal program, and for technology that will defend aircraft against missiles. We're adding new resources to patrol our borders and to verify the identity of foreign visitors to America. We need to know who's coming in and out of our country.",2004-10-18-marlton-new-jersey_17,0.959064756,FALSE,NA,uncertainty,neither,exclusionary,0
71,0.011342063,0.988657937,"We will also keep open Guantanamo Bay and place a renewed emphasis on human intelligence. Drone strikes will remain part of our strategy, but we will also seek to capture high-value targets to gain needed information to dismantle their organizations. Finally, we will pursue aggressive criminal or immigration charges against anyone who lends materiel support to terrorism. There will be consequences for those people. There will be very serious consequences. To accomplish a goal, you must state a mission. The support networks for radical Islam in this country will be stripped out and removed, one-by-one, viciously if necessary--viciously if necessary. Immigration offices will also have their powers restored. Those have been taken away. Those who are guests in our country that are preaching hate will be asked to return home immediately and if they don't immediately, we will return them home.",2016-08-15-university-youngstown-ohio_55,0.977315874,FALSE,NA,uncertainty,neither,exclusionary,0
77,0.424285307,0.575714693,"But look, as many know, a major destination -- Maine, has become a major destination for Somali refugees. We admit hundreds of thousands of refugees into the United States from many of the most dangerous and unstable regions in the world. And you are getting them here too folks, you just don't know it because you just don't know.",2016-08-05-green-bay-wisconsin_91,0.151429386,FALSE,NA,uncertainty,exclusionary,exclusionary,1
86,0.932800264,0.067199736,Our message to the world will be this. You cannot obtain legal status or become a citizen of the United States by illegally entering our country. Can't do it.,2016-08-31-center-phoenix-arizona_111,0.865600527,FALSE,NA,uncertainty,neither,exclusionary,0
92,0.900536492,0.099463508,"So let me state this as clearly as I can. If I'm elected president of the United States, I am going to keep radical Islamic terrorist the hell out of our country. We have enough problems.",2016-10-18-colorado-springs-colorado_64,0.801072984,FALSE,NA,uncertainty,exclusionary,neither,0
115,0.258933722,0.741066278,"That pledge says that we are a nation under God. And if I'm president of the United States — — I will not take God out of the public (square ?), and I will not —.",2012-09-10-event-mansfield-ohio_5,0.482132555,FALSE,NA,uncertainty,exclusionary,neither,0
180,0.989110854,0.010889146,"So you have drugs pouring in. You have everything coming in. You know, in New Hampshire, a great state, they have a tremendous heroin problem. I said to them, we will stop the drugs from pouring in to our country from the Southern border. They're going to stop.",2016-08-09-north-carolina-wilmington_121,0.978221708,FALSE,NA,uncertainty,exclusionary,neither,0
181,0.983014372,0.016985628,"We're not going to take the risk when it comes to the safety of the American people. No longer. So let me state this as clearly as I can. If I'm elected president, I am going to keep radical Islamic terrorists the hell out of our country.",2016-10-27-expo-springfield-ohio_31,0.966028743,FALSE,NA,uncertainty,exclusionary,neither,0
191,0.939050417,0.060949583,"And on these issues, there is a difference of opinion. My opponent's words on values issues are a little murky—[laughter]—but his record is clear. You know, the Congress in the mid-nineties voted on what was called the Defense of Marriage Act. It's an act that defined marriage as between a man and a woman. It received big bipartisan support. Republicans voted for it. Democrats voted for it. President Clinton signed the bill into law. My opponent was one of a few out-of-the-mainstream Democrats that voted against the Defense of Marriage Act. He voted against the ban on the brutal practice of partial-birth abortion. He has said that the Reagan years were a period of moral darkness. There is a mainstream in American politics, and he sits on the far left bank. He can try to run, but he cannot hide from his record.",2004-10-26-richland-center-wisconsin_101,0.878100834,FALSE,NA,uncertainty,exclusionary,neither,0
1,0.039194554,0.960805446,"But as a people, we Americans have fought harder, paid a higher price, done more to advance the freedom and dignity of man than any people who ever lived on this Earth. And America's future will always be great because our nation will always be strong. And our nation will be strong because our people are free. And our people will be free because we're united--One people, under God, with liberty and justice for all. We're the home of the free because we're the land of the brave.",2869_42,0.921610892,FALSE,NA,uncertainty,neither,neither,1
2,0.877838626,0.122161374,"The government will work for the people again. That means we are only going to admit individuals into our country who support our values and we're not going to issue visas where adequate screening controls take place. We are going to make sure that we have total screening, and without it, we cannot continue to have our government run like this. We will also seek to join in partnership with any nation that wishes to join us in defeating and destroying ISIS.",2016-08-19-complex-dimondale-michigan_70,0.755677251,FALSE,NA,uncertainty,exclusionary,exclusionary,1
3,0.588553952,0.411446048,"We also know that ISIS recruits refugees after their entrance into the country, as we have seen with the Somali refugee population in Minnesota. Beyond terrorism, as we have also seen in France, foreign populations have brought their anti-Semitic attitudes with them. In Cologne, Germany on New Years, we have seen the reports of sexual violence and assault far greater than anybody knows.",2016-08-15-university-youngstown-ohio_46,0.177107903,FALSE,NA,uncertainty,exclusionary,exclusionary,1
4,0.017875011,0.982124989,"We, as a people, have fought harder, paid a higher price for victory and freedom, and done more to advance the freedom and the dignity of man than any people who ever lived on this Earth. America's future--well, let me just say, ours is the land of the free because it is the home of the brave. America's future will always be great because our nation will always be strong. Our nation will be strong because our people will be free. And our people will be free because we will be united--one people, under God, with liberty and justice for all.",2878_32,0.964249978,FALSE,NA,uncertainty,neither,neither,1
5,0.903062177,0.096937823,"Well, now, with all this old and new Mondale, just when you're beginning to lose faith, finally you do find there is some constancy. The old Mondale increased your taxes. And the new Mondale will do it again.",2830_24,0.806124355,FALSE,NA,uncertainty,neither,neither,1
6,0.115702673,0.884297327,"But you know, just when you begin to lose faith in that old and new Mondale, why then you suddenly find there is some constancy. The old Mondale increased your taxes, and the new Mondale will do the same thing.  You know, in our debate I got a little angry some of those times when he was distorting my record. And on one occasion, I was about to say to him very sternly, """"Mr. Mondale, you are taxing my patience."""" And then I caught myself. Why should I give him another idea? That's the only tax he hasn't thought of. ",2831_24,0.768594653,FALSE,NA,uncertainty,neither,neither,1
7,0.020790009,0.979209991,"No state suffers the consequences more than the state of California. In four years of interdiction at our borders, interdiction has dropped dramatically because he cut funding. At the busiest point of entry, millions of vehicles have passed through without even seizing a single kilo of cocaine, when 80 percent of it comes from Mexico.",3339_46,0.958419982,FALSE,NA,uncertainty,neither,neither,1
