/documents/keynote-address-the-2004-democratic-national-convention,Keynote Address at the 2004 Democratic National Convention,2004-07-27
/documents/press-release-ames-rally-site-change,Press Release - Ames Rally Site Change,2007-02-08
/documents/remarks-announcing-candidacy-for-president-springfield-illinois,"Remarks Announcing Candidacy for President in Springfield, Illinois",2007-02-10
/documents/press-release-iowa-attorney-general-tom-miller-and-state-treasurer-michael-fitzgerald,Press Release - Iowa Attorney General Tom Miller and State Treasurer Michael Fitzgerald Endorse Barack Obama for President,2007-02-11
/documents/press-release-just-because-someone-writes-it-does-not-make-it-true,Press Release - Just Because Someone Writes It Does Not Make It True,2007-02-19
/documents/remarks-the-aipac-policy-forum-chicago,Remarks at the AIPAC Policy Forum in Chicago,2007-03-02
/documents/remarks-the-selma-voting-rights-march-commemoration-selma-alabama,"Remarks at the Selma Voting Rights March Commemoration in Selma, Alabama",2007-03-04
/documents/obama-time-bring-this-conflict-responsible-end,Obama: Time to bring this conflict to a responsible end,2007-03-20
/documents/press-release-message-from-david-plouffe,Press Release - A Message from David Plouffe,2007-03-21
/documents/statement-senator-obama-elizabeth-edwards,Statement by Senator Obama on Elizabeth Edwards,2007-03-22
/documents/press-release-obama-campaign-announces-featured-community-kickoff-for-national-call-action,Press Release - Obama Campaign Announces Featured Community Kickoff for National Call to Action Day,2007-03-30
/documents/barack-obamas-statement-the-vt-tragedy,Barack Obama's statement on the VT tragedy,2007-04-16
/documents/statement-senator-obama-the-supreme-court-decision-regarding-abortion,Statement by Senator Obama on the Supreme Court Decision Regarding Abortion,2007-04-18
/documents/press-release-barack-obama-unveils-initiative-combat-global-warming,Press Release - Barack Obama Unveils Initiative to Combat Global Warming,2007-04-20
/documents/remarks-the-chicago-council-global-affairs,Remarks to the Chicago Council on Global Affairs,2007-04-23
/documents/barack-obamas-statement-juanita-millender-mcdonald,Barack Obama's statement on Juanita Millender-McDonald,2007-04-25
/documents/barack-obamas-statement-law-day,Barack Obama's Statement on Law Day,2007-05-01
/documents/barack-obamas-statement-the-anniversary-the-mission-accomplished-speech,Barack Obama's Statement on the Anniversary of the Mission Accomplished Speech,2007-05-01
