/documents/address-accepting-the-presidential-nomination-the-republican-national-convention-saint,Address Accepting the Presidential Nomination at the Republican National Convention in Saint Paul,2008-09-04
/documents/remarks-tampa-florida-5,"Remarks in Tampa, Florida",2008-09-16
/documents/remarks-the-general-motors-assembly-plant-lake-orion-michigan,"Remarks at the General Motors Assembly Plant in Lake Orion, Michigan",2008-09-17
/documents/remarks-cedar-rapids-iowa-3,"Remarks in Cedar Rapids, Iowa",2008-09-18
/documents/remarks-green-bay-wisconsin-0,"Remarks in Green Bay, Wisconsin",2008-09-19
/documents/remarks-the-irish-american-presidential-forum-scranton-pennsylvania,"Remarks at the Irish-American Presidential Forum in Scranton, Pennsylvania",2008-09-22
/documents/remarks-dow-corning-freeland-michigan,"Remarks at Dow Corning in Freeland, Michigan",2008-09-23
/documents/remarks-the-economic-crisis-new-york-city,Remarks on the Economic Crisis in New  York City,2008-09-24
/documents/remarks-the-clinton-global-initiative-new-york-city-0,Remarks to the Clinton Global Initiative in New York City,2008-09-25
/documents/remarks-columbus-ohio-7,"Remarks in Columbus, Ohio",2008-09-28
/documents/remarks-west-des-moines-iowa,"Remarks in West Des Moines, Iowa",2008-09-29
/documents/remarks-des-moines-iowa-3,"Remarks in Des Moines, Iowa",2008-09-30
/documents/remarks-the-national-guard-association-baltimore-maryland,"Remarks to the National Guard Association in Baltimore, Maryland",2008-09-30
/documents/remarks-independence-missouri,"Remarks in Independence, Missouri",2008-10-01
/documents/remarks-albquerque-new-mexico,"Remarks in Albquerque, New Mexico",2008-10-06
/documents/remarks-bethlehem-pennsylvania,"Remarks in Bethlehem, Pennsylvania",2008-10-08
/documents/remarks-la-crosse-wisconsin-0,"Remarks in La Crosse, Wisconsin",2008-10-10
/documents/remarks-virginia-beach-virginia,"Remarks in Virginia Beach, Virginia",2008-10-13
/documents/remarks-blue-bell-pennsylvania,"Remarks in Blue Bell, Pennsylvania",2008-10-14
/documents/remarks-the-al-smith-dinner-new-york-city-0,Remarks at the Al Smith Dinner in New York City,2008-10-16
/documents/remarks-downingtown-pennsylvania-1,"Remarks in Downingtown, Pennsylvania",2008-10-16
/documents/remarks-miami-florida-4,"Remarks in Miami, Florida",2008-10-17
/documents/remarks-concord-north-carolina,"Remarks in Concord, North Carolina",2008-10-18
/documents/remarks-belton-missouri,"Remarks in Belton, Missouri",2008-10-20
/documents/remarks-st-anslem-college-goffstown-new-hampshire,"Remarks at St. Anslem College in Goffstown, New Hampshire",2008-10-22
/documents/remarks-denver-colorado-2,"Remarks in Denver, Colorado",2008-10-24
/documents/remarks-dayton-ohio-3,"Remarks in Dayton, Ohio",2008-10-27
/documents/remarks-after-holding-meeting-the-state-the-economy-cleveland-ohio,"Remarks After Holding a Meeting on the State of the Economy in Cleveland, Ohio",2008-10-27
/documents/remarks-hershey-pennsylvania-1,"Remarks in Hershey, Pennsylvania",2008-10-28
/documents/remarks-miami-florida-2,"Remarks in Miami, Florida",2008-10-29
/documents/remarks-after-holding-national-security-roundtable-meeting-tampa-florida,"Remarks After Holding a National Security Roundtable Meeting in Tampa, Florida",2008-10-30
/documents/remarks-columbus-ohio-5,"Remarks in Columbus, Ohio",2008-10-31
/documents/remarks-miami-florida-3,"Remarks in Miami, Florida",2008-11-03
